target,length_text,length_title,text_title_length_relation,num_unique_words,avg_word_length,punctuation_count,exclamation_count,question_count,num_uppercase_words,title_word_overlap_ratio,contains_hyperlink,avg_len_4plus,avg_len_sentences,number_word,num_sentences,vocabulary_richness,most_used_word,readablility_text,smog,difficalt_word
0,1028,89,11.55056179775281,121.0,4.988304093567251,13.0,0.0,0.0,13.0,0.5,0.0,6.5754716981132075,24.714285714285715,171.0,5.0,0.7076023391812866,17.0,38.23784313725494,16.32212239822248,48.0
1,4820,55,87.63636363636364,415.0,5.249027237354086,139.0,0.0,0.0,20.0,0.875,0.0,6.7629482071713145,17.75,771.0,34.0,0.5382619974059663,47.0,40.02823529411768,15.482998801116807,183.0
1,1848,64,28.875,192.0,5.0230263157894735,54.0,0.0,0.0,5.0,0.9,0.0,6.407035175879397,15.4,304.0,16.0,0.631578947368421,18.0,50.24314047029702,12.709666756460706,67.0
0,1244,89,13.97752808988764,122.0,5.704918032786885,31.0,0.0,0.0,5.0,0.8333333333333334,1.0,7.308943089430894,14.307692307692308,183.0,9.0,0.6666666666666666,12.0,40.623901098901115,13.518907172268552,47.0
1,3137,55,57.03636363636364,321.0,4.928166351606805,84.0,0.0,0.0,10.0,0.9,0.0,6.632075471698113,17.225806451612904,529.0,26.0,0.6068052930056711,27.0,49.30824971537004,14.028325238520395,126.0
0,2130,85,25.058823529411764,216.0,4.997167138810198,35.0,0.0,0.0,7.0,0.6666666666666666,0.0,6.504424778761062,32.45454545454545,353.0,7.0,0.6118980169971672,21.0,38.322045454545474,16.24694786949722,79.0
0,935,77,12.142857142857142,105.0,5.213333333333333,34.0,2.0,0.0,3.0,0.46153846153846156,0.0,7.287356321839081,13.0,150.0,8.0,0.7,8.0,61.04350000000002,11.038039088145766,32.0
0,1606,101,15.900990099009901,196.0,4.344481605351171,45.0,0.0,0.0,6.0,0.3125,1.0,6.048484848484849,15.842105263157896,299.0,16.0,0.6555183946488294,16.0,65.50300111482721,11.072351349416056,54.0
1,1030,68,15.147058823529411,117.0,4.959302325581396,18.0,0.0,0.0,3.0,0.6666666666666666,0.0,6.368421052631579,21.75,172.0,6.0,0.6802325581395349,8.0,39.53252631578951,15.903189008614273,32.0
1,690,52,13.26923076923077,92.0,4.694214876033058,32.0,0.0,0.0,4.0,0.5,0.0,5.987179487179487,20.666666666666668,121.0,3.0,0.7603305785123967,7.0,61.04500000000003,11.20814326018867,22.0
1,1652,64,25.8125,179.0,5.362934362934363,49.0,0.0,0.0,5.0,0.6,0.0,6.757062146892656,14.555555555555555,259.0,15.0,0.6911196911196911,10.0,47.129999999999995,13.81666964889586,66.0
0,1,45,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1291,0.0
